Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
59591735,Accelerating Angular Development with Ivy: A practical guide to building faster and more testable Angular apps with the new Ivy engine,Lars Gyrup Brink Nielsen,"Nielsen, Lars Gyrup Brink","Jacob Andresen, Santosh Yadav",,,0,0,,Kindle Edition,,2021,,,2022/03/03,"technology, currently-reading","technology (#4), currently-reading (#2)",currently-reading,,,,1,,,0,,,,,
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,,,5,4.4,Harriman House,Paperback,252,2020,2020,2022/02/13,2021/12/18,finance,,read,,,,1,,,0,,,,,
32171114,CSS in Depth,Keith J. Grant,"Grant, Keith J.",,1617293458,9781617293450,4,4.56,Manning Publications,Paperback,444,2018,,2021/12/05,2020/10/31,,,read,,,,1,,,0,,,,,
11724436,The Linux Command Line,William E. Shotts Jr.,"Jr., William E. Shotts",,1593273894,9781593273897,0,4.37,No Starch Press,Paperback,480,2012,2012,,2021/09/30,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
44936,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Fowler, Martin","Kent Beck, Don Roberts, Erich Gamma",201485672,9780201485677,4,4.25,Addison-Wesley Professional,Hardcover,431,1999,1999,2021/08/11,2020/09/06,,,read,,,,3,,,0,,,,,
4373732,Secrets of the JavaScript Ninja,John Resig,"Resig, John",Bear Bibeault,193398869X,9781933988696,0,4.21,Manning,Paperback,370,2013,2008,,2021/04/18,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,743269519,9780743269513,5,4.14,Free Press,Paperback,372,2004,1988,2021/05/13,2020/10/06,psychology,,read,,,,1,,,0,,,,,
192221,How to Solve It: A New Aspect of Mathematical Method,George Pólya,"Pólya, George",,069111966X,9780691119663,0,4.16,Princeton University Press,Paperback,288,2015,1944,,2021/02/06,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
43429039,Composing Software,Eric Elliott,"Elliott, Eric",,,,0,3.85,Leanpub,ebook,229,2018,,,2020/12/02,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
35328728,Essential Angular,Victor Savkin,"Savkin, Victor",,1788291042,9781788291040,0,2.67,Packt Publishing,ebook,108,2017,,2020/10/25,2020/10/25,,,read,,,,1,,,0,,,,,
17985198,High Performance Browser Networking,Ilya Grigorik,"Grigorik, Ilya",,,,5,4.51,O'Reilly,Paperback,400,2013,2013,2020/10/21,2020/05/09,,,read,"It's awesome book. Anyone who really cares about network level optimization should read this book. I never thought about the use cases that can harm the mobile users. But with this book one can clearly understand why we should care about the mobile devices in terms of bandwidth. It has great explanation about HTTP 2 which will optimize the application to another level. The examples mentioned in the books are also great. Examples are from real life applications such as how facebook handle chat messaging, how google Hangouts use webRTC etc. I really enjoyed by reading this book",,,1,,,0,,,,,
43235825,The Pyramid Principle: Present Your Thinking So Clearly That the Ideas Jump Off the Page and into th,Barbara Minto,"Minto, Barbara",,1405822147,9781405822145,0,3.81,Financial Times/ Prentice Hall,Hardcover,,,,,2020/10/09,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
11553604,The Tangled Web: A Guide to Securing Modern Web Applications,Michal Zalewski,"Zalewski, Michal",,1593273886,9781593273880,0,4.06,No Starch Press,Paperback,320,2011,2011,,2020/09/12,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,62407805,9780062407801,0,4.37,Harper Business,Hardcover,274,2016,2016,,2020/09/06,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
10284614,The Clean Coder: A Code of Conduct for Professional Programmers,Robert C. Martin,"Martin, Robert C.",,137081073,9780137081073,0,4.28,Pearson,Paperback,210,2011,2011,,2020/09/06,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford",988262592,9780988262591,0,4.26,IT Revolution Press,Hardcover,345,2013,2013,,2020/09/06,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
1681559,High Performance Web Sites,Steve Souders,"Souders, Steve",,596529309,9780596529307,0,4.14,O'Reilly Media,Paperback,170,2007,2007,,2020/08/23,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
108986,Introduction to Algorithms,Thomas H. Cormen,"Cormen, Thomas H.","Ronald L. Rivest, Charles E. Leiserson, Clifford Stein",262032937,9780262032933,0,4.34,MIT Press (MA),Hardcover,1180,2001,1989,,2020/08/15,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
429697,HTTP: The Definitive Guide,David Gourley,"Gourley, David","Brian Totty, Marjorie Sayer, Anshu Aggarwal, Sailu Reddy",1565925092,9781565925090,0,4.13,O'Reilly Media,Paperback,656,2002,2002,,2020/08/15,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
49695782,Deep Learning with JavaScript: Neural networks in TensorFlow.js,Shanqing Cai,"Cai, Shanqing","Stan Bileschi, Eric Nielsen",1617296171,9781617296178,0,4.57,Manning,Paperback,560,2020,,,2020/07/01,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
4865,آیین دوست‌یابی,Dale Carnegie,"Carnegie, Dale","ریحانه جعفری, پروین قائمی",964598131X,9789645981318,0,4.21,پیمان,Hardcover,318,2000,1936,,2020/03/01,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
39302889,Frontend Architecture for Design Systems,Micah Godbolt,"Godbolt, Micah",,9352133366,9789352133369,4,3.35,Shroff Publishers & Distributors Pvt Ltd,Paperback,200,2016,2015,,2019/07/24,"technology, read",technology (#2),read,,,,0,,,0,,,,,
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,,,0,4.28,Penguin Books,Paperback,487,2005,2001,,2019/11/06,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
12605872,Designing Data Visualizations: Representing Informational Relationships,Noah Iliinsky,"Iliinsky, Noah",Julie Steele,1449312284,9781449312282,0,3.24,O'Reilly Media,Paperback,114,2011,2011,,2019/07/31,"technology, to-read","technology (#3), to-read (#5)",to-read,,,,0,,,0,,,,,
1319,The War of Art: Winning the Inner Creative Battle,Steven Pressfield,"Pressfield, Steven",Robert McKee,446691437,9780446691437,4,3.99,Warner Books,Paperback,168,2003,2002,2019/11/06,2019/11/06,,,read,,,,2,,,0,,,,,
39699368,"Architecting Angular Applications with Redux, RxJS, and NgRx: Learn to build Redux style high-performing applications with Angular 6",Christoffer Noring,"Noring, Christoffer",,,,0,3.82,Packt Publishing,Kindle Edition,366,2018,,,2019/11/03,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
36808711,Pro TypeScript: Application-Scale JavaScript Development,Steve  Fenton,"Fenton, Steve",,1484232488,9781484232484,4,3.95,Apress,Paperback,256,2018,2014,2019/11/02,2019/07/27,,,read,,,,1,,,0,,,,,
1960593,Pro JavaScript Design Patterns,Ross Harmes,"Harmes, Ross",Dustin Diaz,159059908X,9781590599082,0,4.07,Apress,Paperback,269,2007,2007,,2019/08/04,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
35211,"How to Talk to Anyone, Anytime, Anywhere: The Secrets of Good Communication",Larry King,"King, Larry",Bill Gilbert,517223317,9780517223314,4,3.54,Gramercy Books,Hardcover,220,2004,1994,2017/09/09,2017/07/17,psychology,,read,,,,1,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,61122416,9780061122415,4,3.89,HarperCollins,Paperback,197,1993,1988,,2019/07/24,,,read,,,,1,,,0,,,,,
